"fips_code","county","date","total_outage"
12003,"Baker",2022-11-16,25.25
12003,"Baker",2022-11-17,2.5
12003,"Baker",2022-11-19,7.5
12003,"Baker",2022-11-21,0
12003,"Baker",2022-11-22,0.5
12003,"Baker",2022-11-23,6.25
12003,"Baker",2022-11-24,3.5
12003,"Baker",2022-11-25,0.5
12003,"Baker",2022-11-26,2
12003,"Baker",2022-11-27,0
12003,"Baker",2022-11-28,39
12003,"Baker",2022-11-29,36
12003,"Baker",2022-11-30,265.5
12003,"Baker",2022-12-01,45.5
12003,"Baker",2022-12-02,0.25
12003,"Baker",2022-12-03,0
12003,"Baker",2022-12-05,5.5
12003,"Baker",2022-12-06,1
12003,"Baker",2022-12-07,4.75
12003,"Baker",2022-12-09,3.25
12003,"Baker",2022-12-10,13.25
12003,"Baker",2022-12-12,0
12003,"Baker",2022-12-13,0
12003,"Baker",2022-12-14,0
12003,"Baker",2022-12-15,26.5
12003,"Baker",2022-12-17,0
12003,"Baker",2022-12-18,1.25
12003,"Baker",2022-12-19,3.25
12003,"Baker",2022-12-20,6
12003,"Baker",2022-12-21,17
12003,"Baker",2022-12-23,373.25
12003,"Baker",2022-12-24,183.75
12003,"Baker",2022-12-25,39.25
12003,"Baker",2022-12-27,5.75
12003,"Baker",2022-12-28,90
12003,"Baker",2022-12-30,0.25
12005,"Bay",2022-05-01,17.75
12005,"Bay",2022-05-02,26.5
12005,"Bay",2022-05-03,42.75
12005,"Bay",2022-05-04,246.75
12005,"Bay",2022-05-05,125.25
12005,"Bay",2022-05-06,2274.25
12005,"Bay",2022-05-07,7780.5
12005,"Bay",2022-05-08,366
12005,"Bay",2022-05-09,224
12005,"Bay",2022-05-10,63.75
12005,"Bay",2022-05-11,1098.25
12005,"Bay",2022-05-12,127.75
12005,"Bay",2022-05-13,1243.25
12005,"Bay",2022-05-14,8.5
12005,"Bay",2022-05-15,808.75
12005,"Bay",2022-05-16,137.75
12005,"Bay",2022-05-17,90.5
12005,"Bay",2022-05-18,81.75
12005,"Bay",2022-05-19,1155.75
12005,"Bay",2022-05-20,223
12005,"Bay",2022-05-21,38.25
12005,"Bay",2022-05-22,973.5
12005,"Bay",2022-05-23,2007.25
12005,"Bay",2022-05-24,152
12005,"Bay",2022-05-25,7202.5
12005,"Bay",2022-05-26,365
12005,"Bay",2022-05-27,59.5
12005,"Bay",2022-05-28,509
12005,"Bay",2022-05-29,28.25
12005,"Bay",2022-05-30,50.25
12005,"Bay",2022-05-31,866.5
12005,"Bay",2022-06-01,208.5
12005,"Bay",2022-06-02,50
12005,"Bay",2022-06-03,87
